BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
14900,58,5814900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,435,435,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Riparian,2126663,CONUS
15010,58,5815010,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,444,444,Atlantic White Cedar-4,Riparian,2318555,CONUS
13150,59,5913150,Southern Appalachian Oak Forest,287,287,Chestnut Oak-White Oak-Chestnut-1,Hardwood,93581,CONUS
13160,59,5913160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,17256719,CONUS
13180,59,5913180,Southern and Central Appalachian Cove Forest,291,291,Beech-Basswood-Yellow Buckeye-3,Hardwood,28902,CONUS
13420,59,5913420,Piedmont Hardpan Woodland and Forest,309,309,Post Oak-White Ash-Little Bluestem Hardpan-1,Hardwood,166985,CONUS
13510,59,5913510,Southeastern Interior Longleaf Pine Woodland,318,318,Longleaf Pine-Southern Red Oak-Little Bluestem-1,Conifer,561164,CONUS
13520,59,5913520,Southern Appalachian Montane Pine Forest and Woodland,319,319,Table Mountain Pine-Pitch Pine-1,Conifer,14677,CONUS
13530,59,5913530,Southern Appalachian Low-Elevation Pine Forest,320,320,Virginia Pine-Shortleaf Pine-1,Conifer,89504,CONUS
13680,59,5913680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,55528470,CONUS
14710,59,5914710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,4437819,CONUS
14720,59,5914720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,5526018,CONUS
13090,57,5713090,Southern Appalachian Northern Hardwood Forest,284,284,Sugar Maple-Beech-Yellow Buckeye-5,Hardwood,899983,CONUS
13150,57,5713150,Southern Appalachian Oak Forest,287,287,Chestnut Oak-White Oak-Chestnut-1,Hardwood,15822408,CONUS
13160,57,5713160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,85523,CONUS
13170,57,5713170,Allegheny-Cumberland Dry Oak Forest and Woodland,290,290,White Oak-Scarlet Oak-Chestnut-1,Hardwood,8183554,CONUS
